Date,Price,Open,High,Low,Vol.,Change %
6/2/2021,"82,095.40","82,279.00","82,279.00","81,728.00",3.67M,-0.56%
6/3/2021,"82,830.00","82,646.30","83,381.00","82,462.70",3.63M,0.89%
6/4/2021,"82,187.20","82,921.80","83,564.60","81,819.90",4.56M,-0.78%
6/7/2021,"82,095.40","82,187.20","82,279.00","80,809.70",3.74M,-0.11%
6/8/2021,"82,370.80","82,187.20","83,840.10","82,095.40",5.48M,0.34%
6/9/2021,"81,819.90","82,462.70","82,738.20","81,544.40",3.01M,-0.67%
6/10/2021,"84,666.60","82,095.40","85,952.20","81,360.70",5.62M,3.48%
6/11/2021,"84,482.90","84,666.60","84,942.10","83,748.30",2.94M,-0.22%
6/14/2021,"84,942.10","84,942.10","85,860.40","84,023.80",4.88M,0.54%
6/15/2021,"85,309.40","85,033.90","85,584.90","84,574.70",4.53M,0.43%
6/16/2021,"84,299.30","85,125.70","85,401.20","83,840.10",3.04M,-1.18%
6/17/2021,"83,564.60","83,564.60","84,666.60","83,381.00",2.39M,-0.87%
6/18/2021,"84,574.70","83,931.90","85,125.70","83,931.90",2.97M,1.21%
6/21/2021,"83,197.30","84,482.90","84,574.70","83,197.30",4.19M,-1.63%
6/22/2021,"83,197.30","83,564.60","84,023.80","83,197.30",2.24M,0.00%
6/23/2021,"82,646.30","83,197.30","83,381.00","82,370.80",3.36M,-0.66%
6/24/2021,"81,452.60","82,554.50","82,830.00","81,085.20",4.23M,-1.44%
6/25/2021,"82,370.80","81,452.60","82,554.50","81,452.60",2.08M,1.13%
6/28/2021,"81,911.70","82,646.30","82,830.00","81,728.00",1.85M,-0.56%
6/29/2021,"83,564.60","82,462.70","84,207.40","81,728.00",4.37M,2.02%
6/30/2021,"83,013.70","83,564.60","83,656.50","82,830.00",2.12M,-0.66%
7/1/2021,"83,472.80","83,197.30","83,840.10","83,013.70",3.81M,0.55%
7/2/2021,"82,738.20","83,564.60","83,564.60","82,738.20",2.75M,-0.88%
7/5/2021,"81,911.70","82,738.20","83,013.70","81,360.70",2.93M,-1.00%
7/6/2021,"79,891.50","82,095.40","82,462.70","79,891.50",4.71M,-2.47%
7/7/2021,"82,462.70","79,891.50","82,462.70","79,524.10",4.74M,3.22%
7/8/2021,"81,177.10","80,993.40","82,095.40","80,809.70",1.91M,-1.56%
7/9/2021,"79,891.50","81,085.20","81,177.10","79,799.60",3.06M,-1.58%
7/12/2021,"79,248.70","80,350.60","80,809.70","77,412.10",4.83M,-0.80%
7/13/2021,"77,412.10","79,065.00","79,432.30","77,320.20",2.88M,-2.32%
7/14/2021,"78,054.90","78,054.90","78,697.70","77,412.10",4.18M,0.83%
7/15/2021,"78,238.50","78,054.90","79,248.70","77,595.70",3.28M,0.24%
7/16/2021,"78,881.30","78,514.00","79,156.80","78,330.40",1.45M,0.82%
7/19/2021,"78,054.90","77,503.90","78,054.90","77,136.60",4.11M,-1.05%
7/20/2021,"78,881.30","78,054.90","78,973.20","77,412.10",3.21M,1.06%
7/21/2021,"78,330.40","78,422.20","78,881.30","78,238.50",1.70M,-0.70%
7/22/2021,"79,707.80","78,514.00","79,983.30","78,330.40",2.15M,1.76%
7/23/2021,"80,442.40","79,707.80","82,462.70","79,065.00",4.13M,0.92%
7/26/2021,"81,636.20","80,809.70","81,911.70","80,717.90",2.79M,1.48%
7/27/2021,"80,350.60","81,636.20","82,187.20","80,350.60",2.39M,-1.57%
7/28/2021,"79,799.60","79,983.30","80,258.80","79,524.10",1.67M,-0.69%
7/29/2021,"79,707.80","79,891.50","80,534.30","78,973.20",2.65M,-0.12%
7/30/2021,"79,065.00","79,707.80","80,075.10","78,881.30",4.41M,-0.81%
8/2/2021,"79,432.30","79,156.80","79,799.60","78,973.20",2.57M,0.46%
8/3/2021,"79,983.30","79,524.10","80,350.60","79,524.10",2.71M,0.69%
8/4/2021,"79,983.30","80,350.60","80,350.60","79,891.50",2.87M,0.00%
8/5/2021,"79,524.10","79,799.60","79,983.30","79,524.10",2.83M,-0.57%
8/6/2021,"80,075.10","79,799.60","81,177.10","79,524.10",3.96M,0.69%
8/9/2021,"80,534.30","80,075.10","80,717.90","79,891.50",2.73M,0.57%
8/10/2021,"82,095.40","80,809.70","82,646.30","80,809.70",5.97M,1.94%
8/11/2021,"83,472.80","82,554.50","83,931.90","82,462.70",5.33M,1.68%
8/12/2021,"83,105.50","83,381.00","84,023.80","82,921.80",4.29M,-0.44%
8/13/2021,"82,554.50","83,013.70","83,105.50","81,911.70",4.11M,-0.66%
8/16/2021,"82,187.20","82,554.50","83,197.30","81,728.00",3.27M,-0.44%
8/17/2021,"82,003.50","82,279.00","82,738.20","81,819.90",2.20M,-0.22%
8/18/2021,"82,646.30","82,187.20","83,472.80","82,095.40",4.71M,0.78%
8/19/2021,"82,921.80","83,105.50","83,105.50","82,462.70",3.06M,0.33%
8/20/2021,"80,626.10","82,921.80","82,921.80","79,891.50",4.33M,-2.77%
8/23/2021,"78,973.20","80,534.30","80,626.10","78,973.20",4.36M,-2.05%
8/24/2021,"79,248.70","79,065.00","79,891.50","78,697.70",2.38M,0.35%
8/25/2021,"79,799.60","79,340.50","79,983.30","78,973.20",1.68M,0.70%
8/26/2021,"79,891.50","79,799.60","80,534.30","79,616.00",1.90M,0.12%
8/27/2021,"79,891.50","80,258.80","80,350.60","79,616.00",2.35M,0.00%
8/30/2021,"80,258.80","79,983.30","80,442.40","79,891.50",4.31M,0.46%
8/31/2021,"80,258.80","80,350.60","80,442.40","79,983.30",2.96M,0.00%
9/1/2021,"80,901.60","80,258.80","81,544.40","80,075.10",3.43M,0.80%
9/6/2021,"81,085.20","81,085.20","81,544.40","80,993.40",3.21M,0.23%
9/7/2021,"80,618.20","82,019.40","82,019.40","80,618.20",2.62M,-0.58%
9/8/2021,"79,777.40","80,618.20","80,618.20","79,684.00",3.68M,-1.04%
